ClusterID,Size
cluster_0,3
cluster_1,2
cluster_10,2
cluster_11,2
cluster_12,2
cluster_13,2
cluster_14,2
cluster_15,2
cluster_16,2
cluster_17,2
cluster_18,2
cluster_19,2
cluster_2,2
cluster_20,4
cluster_21,4
cluster_22,4
cluster_23,4
cluster_24,4
cluster_25,4
cluster_26,4
cluster_27,4
cluster_28,4
cluster_29,4
cluster_3,2
cluster_30,4
cluster_31,2
cluster_32,2
cluster_33,2
cluster_34,2
cluster_35,2
cluster_4,2
cluster_5,2
cluster_6,4
cluster_7,3
cluster_8,2
cluster_9,5
