ClusterID,RecordID,ClusterSize
cluster_0,1,3
cluster_0,2,3
cluster_0,4,3
cluster_1,9,2
cluster_1,6,2
cluster_2,8,2
cluster_2,7,2
cluster_3,11,2
cluster_3,45,2
cluster_4,12,2
cluster_4,13,2
cluster_5,14,2
cluster_5,30,2
cluster_6,16,4
cluster_6,32,4
cluster_6,31,4
cluster_6,15,4
cluster_7,105,3
cluster_7,20,3
cluster_7,22,3
cluster_8,25,2
cluster_8,23,2
cluster_9,64,5
cluster_9,66,5
cluster_9,49,5
cluster_9,51,5
cluster_9,26,5
cluster_10,34,2
cluster_10,35,2
cluster_11,61,2
cluster_11,46,2
cluster_12,62,2
cluster_12,47,2
cluster_13,48,2
cluster_13,63,2
cluster_14,65,2
cluster_14,50,2
cluster_15,67,2
cluster_15,52,2
cluster_16,68,2
cluster_16,53,2
cluster_17,69,2
cluster_17,54,2
cluster_18,70,2
cluster_18,55,2
cluster_19,56,2
cluster_19,71,2
cluster_20,80,4
cluster_20,107,4
cluster_20,91,4
cluster_20,123,4
cluster_21,108,4
cluster_21,81,4
cluster_21,92,4
cluster_21,124,4
cluster_22,125,4
cluster_22,82,4
cluster_22,109,4
cluster_22,93,4
cluster_23,126,4
cluster_23,110,4
cluster_23,83,4
cluster_23,94,4
cluster_24,127,4
cluster_24,84,4
cluster_24,111,4
cluster_24,95,4
cluster_25,96,4
cluster_25,128,4
cluster_25,112,4
cluster_25,85,4
cluster_26,97,4
cluster_26,129,4
cluster_26,86,4
cluster_26,113,4
cluster_27,98,4
cluster_27,130,4
cluster_27,114,4
cluster_27,87,4
cluster_28,88,4
cluster_28,115,4
cluster_28,99,4
cluster_28,131,4
cluster_29,116,4
cluster_29,89,4
cluster_29,100,4
cluster_29,132,4
cluster_30,90,4
cluster_30,117,4
cluster_30,101,4
cluster_30,133,4
cluster_31,134,2
cluster_31,118,2
cluster_32,135,2
cluster_32,119,2
cluster_33,120,2
cluster_33,136,2
cluster_34,121,2
cluster_34,137,2
cluster_35,122,2
cluster_35,138,2
